x,y
0.0,1.0
0.1,1.2
0.2,1.4
0.30000000000000004,1.6
0.4,1.8
0.5,2.0
0.6000000000000001,2.2
0.7000000000000001,2.4000000000000004
0.8,2.6
0.9,2.8
1.0,3.0
1.1,3.2
1.2000000000000002,3.4000000000000004
1.3,3.6
1.4000000000000001,3.8000000000000003
1.5,4.0
1.6,4.2
1.7000000000000002,4.4
1.8,4.6
1.9000000000000001,4.800000000000001
2.0,5.0
2.1,5.2
2.2,5.4
2.3000000000000003,5.6000000000000005
2.4000000000000004,5.800000000000001
2.5,6.0
2.6,6.2
2.7,6.4
2.8000000000000003,6.6000000000000005
2.9000000000000004,6.800000000000001
3.0,7.0
3.1,7.2
3.2,7.4
3.3000000000000003,7.6000000000000005
3.4000000000000004,7.800000000000001
3.5,8.0
3.6,8.2
3.7,8.4
3.8000000000000003,8.600000000000001
3.9000000000000004,8.8
4.0,9.0
4.1000000000000005,9.200000000000001
4.2,9.4
4.3,9.6
4.4,9.8
4.5,10.0
4.6000000000000005,10.200000000000001
4.7,10.4
4.800000000000001,10.600000000000001
4.9,10.8
5.0,11.0
5.1000000000000005,11.200000000000001
5.2,11.4
5.300000000000001,11.600000000000001
5.4,11.8
5.5,12.0
5.6000000000000005,12.200000000000001
5.7,12.4
5.800000000000001,12.600000000000001
5.9,12.8
6.0,13.0
6.1000000000000005,13.200000000000001
6.2,13.4
6.300000000000001,13.600000000000001
6.4,13.8
6.5,14.0
6.6000000000000005,14.200000000000001
6.7,14.4
6.800000000000001,14.600000000000001
6.9,14.8
7.0,15.0
7.1000000000000005,15.200000000000001
7.2,15.4
7.300000000000001,15.600000000000001
7.4,15.8
7.5,16.0
7.6000000000000005,16.200000000000003
7.7,16.4
7.800000000000001,16.6
7.9,16.8
8.0,17.0
8.1,17.2
8.200000000000001,17.400000000000002
8.3,17.6
8.4,17.8
8.5,18.0
8.6,18.2
8.700000000000001,18.400000000000002
8.8,18.6
8.9,18.8
9.0,19.0
9.1,19.2
9.200000000000001,19.400000000000002
9.3,19.6
9.4,19.8
9.5,20.0
9.600000000000001,20.200000000000003
9.700000000000001,20.400000000000002
9.8,20.6
9.9,20.8
